date,period,actual,prediction,response,lower_80,upper_80,lower_95,upper_95,actual_log,counterfactual_log,war_premium_usd_bbl,war_stage,model,horizon,specification,sample_start,sample_end
2026-04-07,2026-04,138.21,71.97119075640609,66.23880924359392,63.94254299630537,81.00791829931266,60.06160210878288,86.2423264952757,4.928774267615935,4.276265910560085,66.23880924359392,E2_disruption,AR3_plus_USD_counterfactual,25,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-08,2026-04,122.11,71.72155761509426,50.388442384905744,63.571670902069336,80.91625961286229,59.639240964815116,86.25163136750918,4.8049222778449305,4.272791366502972,50.388442384905744,E2_disruption,AR3_plus_USD_counterfactual,26,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-09,2026-04,119.03,71.67728156574536,47.35271843425464,63.38660911621973,81.05233525325923,59.393337978998375,86.50183450662124,4.779375562179788,4.272173843362494,47.35271843425464,E2_disruption,AR3_plus_USD_counterfactual,27,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-10,2026-04,119.07,71.65425673758166,47.41574326241833,63.223478185535456,81.20926997322209,59.169789904730536,86.77287035972363,4.779711555463083,4.271852562664131,47.41574326241833,E2_disruption,AR3_plus_USD_counterfactual,28,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-13,2026-04,123.28,71.69587319784155,51.58412680215845,63.12018818426652,81.43667472275149,59.00387533010371,87.11797665565197,4.814458191011861,4.272433189433675,51.58412680215845,E2_disruption,AR3_plus_USD_counterfactual,29,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-14,2026-04,118.69,71.56592297458722,47.124077025412774,62.86871638216996,81.46629398428595,58.70108971069636,87.25019171613934,4.776515052068413,4.270619024563945,47.124077025412774,E2_disruption,AR3_plus_USD_counterfactual,30,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-15,2026-04,114.93,71.56962686698239,43.36037313301762,62.737454842904,81.64519110163491,58.5121507864911,87.54098800042179,4.744323247380668,4.270670778197477,43.36037313301762,E2_disruption,AR3_plus_USD_counterfactual,31,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-16,2026-04,116.63,71.56132110074263,45.068678899257364,62.59810767458969,81.80794704377873,58.31709027430743,87.81341204775,4.759006530702958,4.270554719911453,45.068678899257364,E2_disruption,AR3_plus_USD_counterfactual,32,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-17,2026-04,98.63,71.51091611053624,27.119083889463752,62.42436054271596,81.92012026248719,58.09138534160662,88.03045568454539,4.591375474965902,4.269850110921277,27.119083889463752,E2_disruption,AR3_plus_USD_counterfactual,33,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-20,2026-04,103.4,71.5449406428717,31.85505935712831,62.32655836983573,82.12676370189773,57.93765867773193,88.34803905459464,4.638604962074329,4.270325792710883,31.85505935712831,E2_disruption,AR3_plus_USD_counterfactual,34,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-21,2026-04,106.14,71.58732043281516,34.55267956718484,62.23801628831632,82.34106342673716,57.79370813311473,88.67305131117153,4.664758977399749,4.270917969357342,34.55267956718484,E2_disruption,AR3_plus_USD_counterfactual,35,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-22,2026-04,113.44,71.63175137213625,41.80824862786375,62.15313351366267,82.55589886729702,57.654264874449595,88.99788794139106,4.731274062783817,4.271538430587631,41.80824862786375,E2_disruption,AR3_plus_USD_counterfactual,36,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
