outcome,buffer,horizon,estimate,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,specification,sample_start,sample_end,countries,n,identification_note
fuel,oil_intensity,8,0.3975781989155528,0.1115986028547227,0.2545588347144928,0.5405975631166128,0.17884895659530745,0.6163074412357982,0.00038408058473216045,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,oil_intensity,9,0.3336594184924481,0.10387353872252349,0.20054012232394047,0.4667787146609558,0.1300710236495754,0.5372478133353209,0.0013582724018637027,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,oil_intensity,10,0.2754047039607354,0.10994085300145727,0.13450983167940908,0.4162995762420617,0.059924591648266856,0.49088481627320396,0.012398938927161485,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-08,7,1205,continuous lagged annual buffer interaction
fuel,oil_intensity,11,0.21551438573348852,0.12247283812445918,0.058559128298397434,0.3724696431685796,-0.024527966074855523,0.45555673754183257,0.07876108561475292,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-07,7,1198,continuous lagged annual buffer interaction
fuel,oil_intensity,12,0.2045308865806005,0.14039643169799212,0.024605619741163154,0.38445615342003786,-0.07064106310540166,0.4797028362666027,0.1454797183646721,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-06,7,1191,continuous lagged annual buffer interaction
fuel,import_source_hhi,0,-0.299946904525243,0.0471508183075872,-0.36037310954404034,-0.23952069950644558,-0.3923608102497057,-0.20753299880078024,2.976290325307218e-10,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,import_source_hhi,1,-0.35886001716878607,0.09528811216304764,-0.48097664648912924,-0.2367433878484429,-0.5456212851631725,-0.17209874917439963,0.00017503808453511738,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,import_source_hhi,2,-0.23819998362351721,0.10583325092655387,-0.37383075203511684,-0.10256921521191759,-0.4456293438063531,-0.03077062344068132,0.024609756994389498,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,import_source_hhi,3,-0.18879766519511482,0.11928833771244444,-0.341671821141711,-0.03592350924851864,-0.42259851088715705,0.04500318049692739,0.1137904009879449,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,import_source_hhi,4,-0.12923879116649975,0.1449452941756003,-0.31499365983556293,0.05651607750256343,-0.4133263474792396,0.1548487651462401,0.37279183421668827,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-02,7,1233,continuous lagged annual buffer interaction
fuel,import_source_hhi,5,-0.11872548199339195,0.16954138391517137,-0.3360015079744779,0.09855054398769406,-0.4510204883562063,0.2135695243694224,0.48391260915646184,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-01,7,1226,continuous lagged annual buffer interaction
fuel,import_source_hhi,6,-0.18087290960359423,0.16879197070048377,-0.39718852390615755,0.03544270469896907,-0.5116990930560824,0.14995327384889398,0.28416193380095356,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-12,7,1219,continuous lagged annual buffer interaction
fuel,import_source_hhi,7,-0.2590342801278776,0.1485231767117972,-0.44937438976253863,-0.06869417049321655,-0.5501343573524782,0.032065797096723025,0.08144640762482203,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,import_source_hhi,8,-0.3544735104897795,0.14737890952175622,-0.5433471827156422,-0.16559983826391678,-0.6433308652332089,-0.06561615574635005,0.016340169677363514,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,import_source_hhi,9,-0.352394862433237,0.1513384383263914,-0.5463428749974988,-0.15844684986897511,-0.6490127510295003,-0.055776973836973665,0.020077573210187438,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
fuel,import_source_hhi,10,-0.37799302859043,0.15253668001012385,-0.57347664966038,-0.18250940752048,-0.6769594277315836,-0.07902662944927641,0.013371010731620503,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-08,7,1205,continuous lagged annual buffer interaction
fuel,import_source_hhi,11,-0.3059202327536248,0.1616616027818113,-0.5130979128871044,-0.0987425526201452,-0.6227711518889951,0.010930686381745547,0.058728532842563075,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-07,7,1198,continuous lagged annual buffer interaction
fuel,import_source_hhi,12,-0.3172336333768742,0.1880793762498924,-0.5582670524565758,-0.07620021429717266,-0.6858624370614214,0.05139517030767293,0.09196970883928923,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-06,7,1191,continuous lagged annual buffer interaction
cpi,fuel_price_regulation,0,-0.12608452292211525,0.21008632077730285,-0.3953209762137728,0.14315193036954232,-0.5378461452901577,0.2856770994459272,0.548528781857673,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1264,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,1,-0.10653511652193899,0.1896798490077351,-0.3496196239700653,0.13654939092618734,-0.4783007891700953,0.2652305561262173,0.5744664438192055,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1263,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,2,-0.09952808581447546,0.17488166600638902,-0.3236479586700112,0.12459178704106032,-0.44228985274336063,0.24323368111440968,0.5693957951906554,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1263,MECHANISM_ONLY_single_strong_treatment_country
