outcome,country,reference_country,horizon,response,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,response_type,specification,sample_start,sample_end,n
cpi,FRA,CHN,6,0.17628811771093852,0.11398182418068668,0.030214532488550105,0.32236170293332694,-0.047112152575384036,0.3996883879972611,0.12224567409026932,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-12,1277
cpi,ITA,CHN,6,0.2359741008870634,0.1658600387984915,0.023415908503568422,0.4485322932705583,-0.089105601632396,0.5610538034065228,0.15510419789531404,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-12,1277
cpi,ESP,CHN,6,0.3786519873295409,0.14564197218178496,0.19200428987097126,0.5652996847881105,0.09319896721585796,0.6641050074432239,0.009453305060718842,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-12,1277
cpi,JPN,CHN,6,-0.019470306357539283,0.1351925821058234,-0.19272657160527418,0.15378595889019564,-0.2844428982619273,0.24550228554684878,0.8855123998699985,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-12,1277
cpi,KOR,CHN,6,0.1596881490436394,0.0857547747638808,0.049788983192063374,0.2695873148952154,-0.008388120995911269,0.3277644190831901,0.06285455149070085,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-12,1277
cpi,DEU,CHN,7,0.1822413541085806,0.1511792362071805,-0.01150263273056848,0.37598534094772973,-0.11406450406776686,0.4785472122849281,0.22829016050388873,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1270
cpi,FRA,CHN,7,0.07733279072061797,0.08698045898437878,-0.03413715266260056,0.1888027341038365,-0.09314577624752782,0.24781135768876375,0.37415865627994194,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1270
cpi,ITA,CHN,7,0.1865186785991916,0.1556125161431818,-0.012906785082437422,0.38594414228082063,-0.1184762485851025,0.4915136057834857,0.23094512147058377,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1270
cpi,ESP,CHN,7,0.3112606096766686,0.10677916395266282,0.17441760494558997,0.44810361440774715,0.10197729403015185,0.5205439253231853,0.003631065108023357,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1270
cpi,JPN,CHN,7,-0.07900318129541493,0.10567988643918041,-0.21443740520812216,0.0564310426172923,-0.2861319526064914,0.12812559001566154,0.45488342957008143,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1270
cpi,KOR,CHN,7,0.1197169571642449,0.06288804356695443,0.039122686476977406,0.2003112278515124,-0.0035413432851716248,0.2429752576136614,0.05722359733503457,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1270
