rule_id,rho_normal,rho_stress,rho_extreme,J1_macro_loss,J2_cvar95_macro_loss,J3_avg_gap_month_burden,J4_adjustment_volatility,scenario_count,max_gap_ratio,max_terminal_gap_ratio,max_recovery_terminal_gap_ratio,max_monthly_adjustment_ratio,sample_split,is_feasible,is_pareto,is_knee,is_pareto_exact,knee_score,base_price_2026_06_cny_t,stress_threshold_75_cny_t,stress_threshold_95_cny_t,threshold_quantile_low,threshold_quantile_high
R0767,0.75,0.6,0.4,0.25737253975891666,0.9642877621485733,0.007076180301924885,0.03961418539654551,101,0.06449984859190472,0.06449984859190472,1.5747033347632988e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0768,0.75,0.6,0.45,0.2581558932559263,0.9672354117405405,0.006918329539618865,0.039689540787563225,101,0.05912486120924599,0.05912486120924599,1.4434780568663572e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0769,0.75,0.6,0.5,0.25896660885616407,0.9701718799252287,0.0067604787773128455,0.03979044223146456,101,0.05374987382658726,0.05374987382658726,1.3122527789694155e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0770,0.75,0.6,0.55,0.25980651466521343,0.9730972716577299,0.006602628015006825,0.039916249357143406,101,0.048374886443928525,0.048374886443928525,1.1810275010724737e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0771,0.75,0.6,0.6,0.2606432254615977,0.9760116903509118,0.006444777252700804,0.04006629187236524,101,0.04299989906126981,0.04299989906126981,1.0498022231755325e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0772,0.75,0.65,0.0,0.25535604878808654,0.9562648996541984,0.007929987789148246,0.040247480686278536,101,0.10749974765317452,0.10749974765317452,2.624505557938831e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0773,0.75,0.65,0.05,0.25589594896859974,0.9588139012814675,0.0077726545920583125,0.04010040587714344,101,0.1021247602705158,0.1021247602705158,2.4932802800418896e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0774,0.75,0.65,0.1,0.2564538322172758,0.9613529512200064,0.007615321394968381,0.03998230902603398,101,0.09674977288785708,0.09674977288785708,2.3620550021449482e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0775,0.75,0.65,0.15,0.2570294045923969,0.9638821464957935,0.007457988197878449,0.0398929162180879,101,0.09137478550519834,0.09137478550519834,2.2308297242480064e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0776,0.75,0.65,0.2,0.25764839762217534,0.9664015826552518,0.0073006550007885165,0.03983190020403095,101,0.08599979812253962,0.08599979812253962,2.099604446351065e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0777,0.75,0.65,0.25,0.2583588076825856,0.9689113537955084,0.0071433218036985845,0.039798881833147344,101,0.0806248107398809,0.0806248107398809,1.9683791684541235e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0778,0.75,0.65,0.3,0.2591131717530539,0.9714115525938681,0.0069859886066086525,0.03979343203613604,101,0.07524982335722216,0.07524982335722216,1.8371538905571817e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0779,0.75,0.65,0.35,0.25987179678370353,0.9739022703365539,0.006828655409518721,0.039815074317052584,101,0.06987483597456344,0.06987483597456344,1.7059286126602402e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0780,0.75,0.65,0.4,0.2606414130758374,0.9766165974977971,0.006671322212428787,0.03986328770226424,101,0.06449984859190472,0.06449984859190472,1.5747033347632988e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0781,0.75,0.65,0.45,0.2614212715050765,0.9795428763791113,0.006514013790802312,0.039937497782886154,101,0.05912486120924599,0.05912486120924599,1.4434780568663572e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0782,0.75,0.65,0.5,0.2622279750918678,0.9824528083355236,0.006356773490033216,0.04003708388082203,101,0.05374987382658726,0.05374987382658726,1.3122527789694155e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0783,0.75,0.65,0.55,0.2630638715135127,0.9853516769956335,0.006199533189264119,0.0401614470180803,101,0.048374886443928525,0.048374886443928525,1.1810275010724737e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0784,0.75,0.65,0.6,0.26389657554498325,0.9882395857563248,0.006042292888495024,0.040309924739651996,101,0.04299989906126981,0.04299989906126981,1.0498022231755325e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0785,0.75,0.65,0.65,0.2647268286070539,0.9910310634718709,0.005888444412307881,0.04048377013149817,101,0.03762491167861108,0.03762491167861108,9.185769452785908e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0786,0.75,0.7,0.0,0.2586339047403829,0.9684116609254373,0.007525760832547866,0.04053013163157528,101,0.10749974765317452,0.10749974765317452,2.624505557938831e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0787,0.75,0.7,0.05,0.25917872763418887,0.9709359996117212,0.007369013277747514,0.04038314318827967,101,0.1021247602705158,0.1021247602705158,2.4932802800418896e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0788,0.75,0.7,0.1,0.2597447932885869,0.9734495200811609,0.007212277271291529,0.040264943684376615,101,0.09674977288785708,0.09674977288785708,2.3620550021449482e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0789,0.75,0.7,0.15,0.26031645671555703,0.9759531972703531,0.007055541264835545,0.04017526533788809,101,0.09137478550519834,0.09137478550519834,2.2308297242480064e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0790,0.75,0.7,0.2,0.26089983050276194,0.9784471267137023,0.006898805258379561,0.04011378249788472,101,0.08599979812253962,0.08599979812253962,2.099604446351065e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0791,0.75,0.7,0.25,0.26160126675500434,0.9809314024963346,0.0067420692519235765,0.040080118744117495,101,0.0806248107398809,0.0806248107398809,1.9683791684541235e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0792,0.75,0.7,0.3,0.2623517286843382,0.9834061172835721,0.006585333245467592,0.04007384882562063,101,0.07524982335722216,0.07524982335722216,1.8371538905571817e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0793,0.75,0.7,0.35,0.2631064538375386,0.9858713623496737,0.006428597239011607,0.04009450109071836,101,0.06987483597456344,0.06987483597456344,1.7059286126602402e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
